player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
James Harden,hardeja01,2020,4275,1992,10.14545999,0.879834024,11.02529402,1.652581558,4.094797174,5.747378732,8.980359536,1.59366572,10.57402526,13.50337063,13.50337063,0,8.729401539,1.942529761,10.6719313,-0.287005765
LeBron James,jamesle01,2020,3983,1884,6.316212738,-0.488272433,5.827940305,6.452324419,5.451068293,11.90339271,6.637823926,0.685472052,7.323295978,9.704646161,9.704646161,0,6.485737456,0.60135463,7.087092086,0.232146795
Giannis Antetokounmpo,antetgi01,2020,3598,1606,5.909461101,2.74932298,8.658784081,2.02790595,6.010470522,8.038376471,5.343540528,3.510577075,8.854117602,9.692748533,9.692748533,0,5.072271772,2.834230936,7.906502709,1.980912566
Rudy Gobert,goberru01,2020,3956,1905,-0.426881554,7.145862443,6.718980889,2.722086673,4.230619877,6.95270655,0.20066896,6.92485724,7.1255262,9.571159174,9.571159174,0,0.286198016,6.386888549,6.673086564,-0.288902305
Damian Lillard,lillada01,2020,4249,1996,8.822840946,-2.759325538,6.063515408,4.651943533,0.114321181,4.766264714,8.444328101,-2.295993724,6.148334377,9.162515014,9.162515014,0,8.675224348,-2.196352149,6.4788722,1.135417387
Kawhi Leonard,leonaka01,2020,3013,1425,5.157439293,2.834581598,7.992020891,5.787459764,4.089097486,9.87655725,5.568277245,3.230912218,8.799189463,8.389233425,8.389233425,0,5.584645279,3.704222954,9.288868233,-0.09032641
Jimmy Butler,butleji01,2020,3289,1616,5.206390206,2.698662044,7.905052251,0.467783532,1.69792873,2.165712261,4.495591157,2.646106581,7.141697738,8.089379151,8.089379151,0,4.215805227,2.183379214,6.399184442,-0.827908265
Luka Doncic,doncilu01,2020,3158,1502,9.311075067,-0.633443754,8.677631313,3.311217794,-2.363954705,0.947263089,8.402850838,-1.035498345,7.367352493,7.879767148,7.879767148,0,9.021345796,-1.505535586,7.51581021,1.666918748
Nikola Jokic,jokicni01,2020,3800,1882,4.506861396,1.046455861,5.553317257,1.84649654,0.635804027,2.482300567,4.173136692,0.982247478,5.15538417,7.558892429,7.558892429,0,4.896620631,2.387592065,7.284212696,-0.427939903
Jayson Tatum,tatumja01,2020,3819,1814,3.104858918,1.006749903,4.111608821,4.550785417,3.875446196,8.426231613,3.566304768,1.640765352,5.207070121,7.341885389,7.341885389,0,3.933254561,1.677849456,5.611104017,-0.310500686
Anthony Davis,davisan02,2020,3644,1701,2.993997615,4.171047765,7.16504538,-3.996131977,1.441749584,-2.554382393,1.633082876,3.790250164,5.42333304,7.201356161,7.201356161,0,2.272916731,4.054627341,6.327544072,1.555732578
Trae Young,youngtr01,2020,4113,1877,6.414630784,-2.470143419,3.944487365,8.309871731,-5.256597534,3.053274197,7.379400627,-3.144624805,4.234775822,6.872719559,6.872719559,0,8.272414844,-3.526624953,4.745789891,2.804055861
Khris Middleton,middlkh01,2020,3387,1525,4.248188028,1.364719622,5.612907651,1.852742288,3.481554828,5.334297116,3.933693672,1.820235625,5.753929296,6.649192989,6.649192989,0,3.706788496,1.263489583,4.97027808,0.50389413
Chris Paul,paulch01,2020,3797,1812,5.651043716,-2.337661787,3.313381929,6.534615215,-1.752533296,4.782081919,6.165876746,-2.408481071,3.757395675,5.993375788,5.993375788,0,5.081760098,-1.099782651,3.981977447,-0.383343015
Kemba Walker,walkeke02,2020,3096,1481,5.232006936,0.395056237,5.627063173,6.491642656,-4.807207325,1.68443533,5.785536396,-0.71279317,5.072743227,5.903686256,5.903686256,0,6.135484244,-0.173888547,5.961595697,-0.124780886
Jrue Holiday,holidjr01,2020,3678,1701,1.91728499,1.874826816,3.792111806,1.752989936,1.736348581,3.489338517,1.984922189,1.984575405,3.969497594,5.846628707,5.846628707,0,2.938137197,2.378228981,5.316366177,0.264463283
Kyle Lowry,lowryky01,2020,3571,1676,3.863762576,1.229165696,5.092928272,-1.903450167,0.49585174,-1.407598426,2.867548073,1.100103429,3.967651502,5.812878558,5.812878558,0,3.320045284,1.414117642,4.734162926,1.219642655
Karl-Anthony Towns,townska01,2020,2589,1187,5.022532589,2.144333217,7.166865806,7.82845198,-6.14624838,1.682203599,5.992088156,0.561291785,6.55337994,5.718649169,5.718649169,0,5.54710931,0.988065352,6.535174662,1.529777716
Montrezl Harrell,harremo01,2020,3457,1581,0.780106925,4.045673254,4.825780179,0.230778996,1.25289591,1.483674905,0.676567906,3.635598401,4.312166307,5.716482504,5.716482504,0,0.090598419,3.237076123,3.327674543,0.357491345
Hassan Whiteside,whiteha01,2020,3536,1677,0.299789939,3.359674473,3.659464412,2.263786507,-0.74501438,1.518772127,0.703514508,2.773991358,3.477505866,5.29566297,5.29566297,0,0.576454969,2.405227364,2.981682333,-0.624887059
Will Barton,bartowi01,2020,3434,1685,1.744296892,1.301222004,3.045518896,2.666583964,1.293727458,3.960311422,2.013323171,1.357861019,3.371184191,5.229477092,5.229477092,0,1.488688045,1.735336941,3.224024986,-0.636615095
