date,key,ml_BOL,ml_BVD,ml_FD,ml_HER,ml_PIN,ml_consensus,ml_time,opp_team,rl_BOL_line,rl_BOL_odds,rl_BVD_line,rl_BVD_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_PIN_line,rl_PIN_odds,rl_consensus,rl_time,team,tot_BOL_line,tot_BOL_odds,tot_BVD_line,tot_BVD_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_PIN_line,tot_PIN_odds,tot_consensus,tot_time
11:41:36,20150101,,,,,,50.9,away,Chicago,,,,,,,,,,,48.9,away,Denver,,,,,,,,,,,53.5,away
11:41:36,20150101,,,,,,49.1,home,Denver,,,,,,,,,,,51.1,home,Chicago,,,,,,,,,,,46.5,home
11:41:36,20150101,,,,,,60.3,away,Minnesota,,,,,,,,,,,42.4,away,Sacramento,,,,,,,,,,,37.4,away
11:41:36,20150101,,,,,,39.7,home,Sacramento,,,,,,,,,,,57.6,home,Minnesota,,,,,,,,,,,62.6,home
11:41:40,20150102,,,,,,0.0,away,Charlotte,,,,,,,,,,,48.6,away,Cleveland,,,,,,,,,,,45.0,away
11:41:40,20150102,,,,,,100.0,home,Cleveland,,,,,,,,,,,51.4,home,Charlotte,,,,,,,,,,,55.0,home
11:41:40,20150102,,,,,,48.0,away,Orlando,,,,,,,,,,,55.3,away,Brooklyn,,,,,,,,,,,0.0,away
11:41:40,20150102,,,,,,52.0,home,Brooklyn,,,,,,,,,,,44.7,home,Orlando,,,,,,,,,,,100.0,home
11:41:40,20150102,,,,,,53.1,away,Boston,,,,,,,,,,,56.4,away,Dallas,,,,,,,,,,,51.4,away
11:41:40,20150102,,,,,,46.9,home,Dallas,,,,,,,,,,,43.6,home,Boston,,,,,,,,,,,48.6,home
11:41:40,20150102,,,,,,45.6,away,New York,,,,,,,,,,,61.3,away,Detroit,,,,,,,,,,,15.4,away
11:41:40,20150102,,,,,,54.4,home,Detroit,,,,,,,,,,,38.7,home,New York,,,,,,,,,,,84.6,home
11:41:40,20150102,,,,,,55.6,away,Oklahoma City,,,,,,,,,,,49.2,away,Washington,,,,,,,,,,,57.3,away
11:41:40,20150102,,,,,,44.4,home,Washington,,,,,,,,,,,50.8,home,Oklahoma City,,,,,,,,,,,42.7,home
11:41:40,20150102,,,,,,15.4,away,New Orleans,,,,,,,,,,,59.5,away,Houston,,,,,,,,,,,62.2,away
11:41:40,20150102,,,,,,84.6,home,Houston,,,,,,,,,,,40.5,home,New Orleans,,,,,,,,,,,37.8,home
11:41:40,20150102,,,,,,53.0,away,Milwaukee,,,,,,,,,,,44.9,away,Indiana,,,,,,,,,,,50.9,away
11:41:40,20150102,,,,,,47.0,home,Indiana,,,,,,,,,,,55.1,home,Milwaukee,,,,,,,,,,,49.1,home
11:41:40,20150102,,,,,,0.0,away,Phoenix,,,,,,,,,,,40.0,away,Philadelphia,,,,,,,,,,,40.2,away
11:41:40,20150102,,,,,,100.0,home,Philadelphia,,,,,,,,,,,60.0,home,Phoenix,,,,,,,,,,,59.8,home
11:41:40,20150102,,,,,,61.6,away,Utah,,,,,,,,,,,60.7,away,Atlanta,,,,,,,,,,,54.8,away
11:41:40,20150102,,,,,,38.4,home,Atlanta,,,,,,,,,,,39.3,home,Utah,,,,,,,,,,,45.2,home
