key,date,ml_time,team,opp_team,ml_consensus,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_consensus,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_consensus,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20191216,11:39:22,away,Washington,Detroit,57.0,+126,+130,+120,+125,+130,away,52.0,+2.5,-102,+2.5,-105,+2.5,-105,+3,-115,+2.5,-105,away,46.0,232,-110,232,-105,231.5,-105,231.5,-110,232.5,-110
20191216,11:39:22,home,Detroit,Washington,43.0,-140,-140,-140,-145,-150,home,48.0,-2.5,-108,-2.5,-105,-2.5,-105,-3,-105,-2.5,-115,home,54.0,232,-100,232,-105,231.5,-105,231.5,-110,232.5,-110
20191216,11:39:22,away,Cleveland,Toronto,34.0,+624,+660,+670,+600,+600,away,42.0,+12.5,-112,+12,-102,+12,-105,+12.5,-105,+12,-111,away,44.0,216.5,+100,216.5,-105,216,-105,216,-110,216.5,-107
20191216,11:39:22,home,Toronto,Cleveland,66.0,-844,-840,-920,-1000,-900,home,58.0,-12.5,+102,-12,-108,-12,-105,-12.5,-115,-12,-109,home,56.0,216.5,-110,216.5,-105,216,-105,216,-110,216.5,-113
20191216,11:39:22,away,Miami,Memphis,62.0,-151,-150,-150,-155,-152,away,59.0,-3,-107,-3,-107,-3,-105,-3.5,-105,-3,-112,away,51.0,216.5,-113,217.5,-105,216.5,-105,218,-105,217,-112
20191216,11:39:22,home,Memphis,Miami,38.0,+136,+140,+130,+135,+132,home,41.0,+3,-103,+3,-103,+3,-105,+3.5,-115,+3,-108,home,49.0,216.5,+102,217.5,-105,216.5,-105,218,-115,217,-108
20191216,11:39:22,away,Dallas,Milwaukee,45.0,+507,+515,+525,+450,+475,away,40.0,+10.5,-105,+10.5,-103,+10.5,-105,+11,-115,+10.5,-108,away,61.0,227,-108,227,-105,227,-105,227.5,-110,227,-110
20191216,11:39:22,home,Milwaukee,Dallas,55.0,-655,-620,-675,-700,-650,home,60.0,-10.5,-105,-10.5,-107,-10.5,-105,-11,-105,-10.5,-112,home,39.0,227,-102,227,-105,227,-105,227.5,-110,227,-110
20191216,11:39:22,away,Chicago,Oklahoma City,41.0,+187,+200,+205,+190,+190,away,51.0,+5,+103,+5.5,-105,+6,-105,+5.5,-115,+5.5,-107,away,49.0,208.5,+101,208.5,-105,208,-105,208.5,-110,208.5,-109
20191216,11:39:22,home,Oklahoma City,Chicago,59.0,-211,-220,-245,-230,-220,home,49.0,-5,-113,-5.5,-105,-6,-105,-5.5,-105,-5.5,-113,home,51.0,208.5,-111,208.5,-105,208,-105,208.5,-110,208.5,-111
20191216,11:39:22,away,San Antonio,Houston,50.0,+443,+485,+500,+405,+405,away,43.0,+10,-104,+10.5,-108,+10.5,-105,+10.5,-105,+10,-107,away,52.0,232,-104,233,-105,233,-105,233,-110,232,-112
20191216,11:39:22,home,Houston,San Antonio,50.0,-558,-575,-650,-610,-525,home,57.0,-10,-106,-10.5,-102,-10.5,-105,-10.5,-115,-10,-113,home,48.0,232,-106,233,-105,233,-105,233,-110,232,-108
20191216,11:39:22,away,Portland,Phoenix,60.0,-126,-130,-140,-145,-136,away,59.0,-2.5,-101,-2.5,-105,-2.5,-105,-3,-105,-2.5,-110,away,55.0,227,-106,227,-105,227,-105,227,-110,227,-110
20191216,11:39:22,home,Phoenix,Portland,40.0,+114,+120,+120,+125,+116,home,41.0,+2.5,-109,+2.5,-105,+2.5,-105,+3,-115,+2.5,-110,home,45.0,227,-104,227,-105,227,-105,227,-110,227,-110
