date,key,ml_BOL,ml_BVD,ml_FD,ml_HER,ml_PIN,ml_time,opp_team,rl_BOL_line,rl_BOL_odds,rl_BVD_line,rl_BVD_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_PIN_line,rl_PIN_odds,rl_time,team,tot_BOL_line,tot_BOL_odds,tot_BVD_line,tot_BVD_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_PIN_line,tot_PIN_odds,tot_time
23:48:34,20110101,,,+1075,,+1200,away,Chicago,,,+13,-110,+13,-110,,,+13,+101,away,Cleveland,189.5,-110,189,-115,190,-110,,,190.5,-106,away
23:48:34,20110101,,,-1650,,-2000,home,Cleveland,-13,-110,-13,-110,-13,-110,,,-13,-111,home,Chicago,189.5,-110,189,-105,190,-110,,,190.5,-104,home
23:48:34,20110101,,,-108,,-115,away,Washington,-1,-110,,,,,,,-1,-107,away,New Orleans,186.5,-110,187,-110,187,-103,,,186,-105,away
23:48:34,20110101,,,-102,,+104,home,New Orleans,+1,-110,+1.5,-115,+1,-109,,,+1,-103,home,Washington,186.5,-110,187,-110,187,-107,,,186,-105,home
23:48:34,20110101,,,+750,,+760,away,Miami,+12,-110,+12,-105,+12,-107,,,,,away,Golden State,205,-110,205,-110,205,-108,,,205.5,+102,away
23:48:34,20110101,,,-950,,-1000,home,Golden State,-12,-110,-12,-115,,,,,-11.5,-107,home,Miami,205,-110,205,-110,205,-102,,,205.5,-113,home
23:48:34,20110101,+180,+180,+190,,+186,away,Minnesota,+5,-110,+5.5,-115,+5.5,-107,,,+5,+101,away,Brooklyn,204.5,-110,204,-110,204,-107,,,204.5,+100,away
23:48:34,20110101,-220,-220,-210,,-208,home,Brooklyn,-5,-110,-5.5,-105,-5.5,-103,,,-5,-111,home,Minnesota,204.5,-110,204,-110,204,-103,,,204.5,-110,home
23:48:34,20110101,+230,+245,+245,,+245,away,San Antonio,+6.5,-110,+6.5,-110,,,,,+6.5,-101,away,Oklahoma City,204,-110,204,-115,204.5,-105,,,204.5,-105,away
23:48:34,20110101,-280,-290,-265,,-277,home,Oklahoma City,-6.5,-110,-6.5,-110,-6.5,-105,,,-6.5,-109,home,San Antonio,204,-110,204,-105,204.5,-105,,,204.5,-105,home
23:48:34,20110101,+280,+260,+280,,+285,away,Utah,+7.5,-110,+7.5,-110,+7.5,-105,,,+7.5,+103,away,Memphis,196,-110,197,-105,196.5,-102,,,196,-106,away
23:48:34,20110101,-350,-320,-310,,-325,home,Memphis,-7.5,-110,-7.5,-110,-7.5,-105,,,-7.5,-114,home,Utah,196,-110,197,-115,196.5,-108,,,196,-104,home
23:48:34,20110101,-130,,-125,,-130,away,Milwaukee,-2,-110,-2.5,-110,-2,-107,,,-2,-108,away,Dallas,178.5,-110,179,-110,179,-102,,,179,+102,away
23:48:34,20110101,+110,,+115,,+118,home,Dallas,+2,-110,+2.5,-110,+2,-103,,,+2,-102,home,Milwaukee,178.5,-110,179,-110,179,-108,,,179,-113,home
23:48:34,20110101,+450,,+540,,+569,away,Denver,+11,-110,+11,-110,+11,-107,,,+10.5,-102,away,Sacramento,208.5,-110,208,-115,208,-107,,,208.5,+101,away
23:48:34,20110101,-650,,-660,,-700,home,Sacramento,,,-11,-110,-11,-103,,,-10.5,-108,home,Denver,208.5,-110,208,-105,208,-103,,,208.5,-111,home
23:48:39,20110102,+250,+250,+248,,+245,away,New York,+7,-110,+7,-110,+6.5,-102,,,+7,-116,away,Indiana,211.5,-110,212,-110,212,-102,,,211.5,-108,away
23:48:39,20110102,-300,-300,-270,,-277,home,Indiana,-7,-110,-7,-110,-6.5,-108,,,-7,+105,home,New York,211.5,-110,212,-110,212,-108,,,211.5,-102,home
23:48:39,20110102,-130,,-120,,-118,away,L.A. Clippers,-2,-110,-2,-110,-1.5,-108,,,-1.5,-109,away,Atlanta,189,-110,189,-110,189,-102,,,189,-104,away
23:48:39,20110102,+110,,+110,,+107,home,Atlanta,+2,-110,+2,-110,+1.5,-102,,,+1.5,-101,home,L.A. Clippers,189,-110,189,-110,189,-108,,,189,-106,home
23:48:39,20110102,-250,-235,-250,,-260,away,Toronto,-6,-110,-6,-110,-6.5,-105,,,-6,-113,away,Boston,197,-110,197,-115,197.5,-102,,,197.5,-103,away
23:48:39,20110102,+210,+195,+230,,+231,home,Boston,+6,-110,+6,-110,+6.5,-105,,,+6,+102,home,Toronto,197,-110,197,-105,197.5,-108,,,197.5,-107,home
23:48:39,20110102,-235,-230,-200,,-215,away,Cleveland,-5.5,-110,-5,-115,-5,-105,,,-5,-113,away,Dallas,189.5,-110,189,-115,189.5,-105,,,189.5,+101,away
23:48:39,20110102,+195,+190,+185,,+193,home,Dallas,+5.5,-110,+5,-105,+5,-105,,,+5,+102,home,Cleveland,189.5,-110,189,-105,189.5,-105,,,189.5,-111,home
23:48:39,20110102,+145,+145,+155,,+146,away,Portland,+3.5,-110,+3.5,-110,+3.5,-103,,,+3.5,-107,away,Houston,199.5,-110,200,-105,199,-105,,,199.5,+102,away
23:48:39,20110102,-165,-165,-165,,-162,home,Houston,-3.5,-110,-3.5,-110,-3.5,-107,,,-3.5,-103,home,Portland,199.5,-110,200,-115,199,-105,,,199.5,-113,home
23:48:39,20110102,-220,-220,-200,,-201,away,Sacramento,-5,-110,-5.5,-110,-5,-106,,,-5,-102,away,Phoenix,207,-110,207,-105,207,-105,,,207,-108,away
23:48:39,20110102,+180,+180,+185,,+180,home,Phoenix,+5,-110,+5.5,-110,+5,-104,,,+5,-108,home,Sacramento,207,-110,207,-115,207,-105,,,207,-102,home
23:48:39,20110102,+400,+425,+480,,+509,away,L.A. Lakers,+9.5,-110,+9.5,-110,+9,-103,,,+9.5,-103,away,Memphis,196.5,-110,197,-110,196.5,-103,,,,,away
23:48:39,20110102,-600,-650,-570,,-615,home,Memphis,-9.5,-110,-9.5,-110,-9,-107,,,-9.5,-107,home,L.A. Lakers,196.5,-110,197,-110,196.5,-107,,,196.5,-110,home
23:48:44,20110103,+400,,+585,,+604,away,Orlando,+11,-110,+11,-110,+11,-107,,,+11,-108,away,Golden State,211,-110,211,-110,211,-105,,,211,-105,away
23:48:44,20110103,,,-725,,-750,home,Golden State,-11,-110,-11,-110,-11,-103,,,-11,-102,home,Orlando,211,-110,211,-110,211,-105,,,211,-105,home
23:48:44,20110103,-550,-600,-475,,-485,away,Charlotte,-9,-110,-9.5,-110,-9,-106,,,-9,-109,away,Miami,188.5,-110,189,-110,188,-105,,,188,-113,away
23:48:44,20110103,+350,+400,,,+412,home,Miami,+9,-110,+9.5,-110,+9,-104,,,+9,-101,home,Charlotte,188.5,-110,189,-110,188,-105,,,188,+102,home
