key,date,ml_time,team,opp_team,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20160101,01:17:55,away,Orlando,Washington,+109,+103,+105,,+105,away,+1.5,-102,+1.5,-110,+1.5,-105,+1.5,-110,+1.5,-105,away,203,+102,203,-110,203,-105,204,-105,203,-110
20160101,01:17:55,home,Washington,Orlando,-120,-123,-125,,-125,home,-1.5,-108,-1.5,-110,-1.5,-105,-1.5,-110,-1.5,-115,home,203,-113,203,-110,203,-105,204,-115,203,-110
20160101,01:17:55,away,Charlotte,Toronto,+218,+210,+215,+220,+200,away,+6,-104,+6,-110,+6,-105,+6,-110,+6,-110,away,196.5,-103,196,-110,196,-105,197,-105,196.5,-105
20160101,01:17:55,home,Toronto,Charlotte,-245,-250,-255,-260,-240,home,-6,-106,-6,-110,-6,-105,-6,-110,-6,-110,home,196.5,-107,196,-110,196,-105,197,-115,196.5,-115
20160101,01:17:55,away,Dallas,Miami,+134,+125,+120,,+110,away,+3,-105,+2.5,-110,+3.5,-105,+2.5,-110,+2.5,-107,away,196,-110,195.5,-110,195.5,-105,196,-115,196,-110
20160101,01:17:55,home,Miami,Dallas,-148,-145,-140,,-130,home,-3,-105,-2.5,-110,-3.5,-105,-2.5,-110,-2.5,-113,home,196,+100,195.5,-110,195.5,-105,196,-105,196,-110
20160101,01:17:55,away,New York,Chicago,+256,+245,+250,+250,+245,away,+7,-105,+7,-110,+7,-105,+7,-110,+7,-110,away,199,+104,199,-110,199.5,-105,199,-110,199,-110
20160101,01:17:55,home,Chicago,New York,-290,-290,-310,-300,-290,home,-7,-105,-7,-110,-7,-105,-7,-110,-7,-110,home,199,-113,199,-110,199.5,-105,199,-110,199,-110
20160101,01:17:55,away,Philadelphia,L.A. Lakers,+136,+130,+130,+130,+130,away,+3,-105,+3,-110,+3,-105,+3,-105,+3,-110,away,207.5,-108,207.5,-110,207.5,-105,208,-110,207.5,-110
20160101,01:17:55,home,L.A. Lakers,Philadelphia,-150,-150,-150,-150,-150,home,-3,-105,-3,-110,-3,-105,-3,-115,-3,-110,home,207.5,-102,207.5,-110,207.5,-105,208,-110,207.5,-110
