key,date,ml_time,team,opp_team,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20191022,12:06:24,away,New Orleans,Toronto,237,245,245,230,235,away,6.5,-104,6.5,-105,6.5,-105,7,-115,7,-116,away,229.5,-109,229.5,-103,229,-105,228.5,-115,229.5,-110
20191022,12:06:24,home,Toronto,New Orleans,-273,-265,-305,-280,-280,home,-6.5,-106,-6.5,-105,-6.5,-105,-7,-105,-7,-104,home,229.5,-101,229.5,-107,229,-105,228.5,-105,229.5,-110
20191022,12:06:24,away,L.A. Lakers,L.A. Clippers,-165,-160,-180,-180,-168,away,-3.5,-109,-3.5,-107,-4,-105,-4.5,-105,-3.5,-112,away,224,-101,224,-105,224,-105,225,-105,223.5,-112
20191022,12:06:24,home,L.A. Clippers,L.A. Lakers,148,150,155,160,148,home,3.5,-101,3.5,-103,4,-105,4.5,-115,3.5,-108,home,224,-109,224,-105,224,-105,225,-115,223.5,-108
20191023,12:06:27,away,Detroit,Indiana,261,280,255,260,250,away,7.5,-105,7.5,-105,7,-105,8,-115,7.5,-115,away,211.5,-101,211.5,-102,211,-105,211,-110,211,-111
20191023,12:06:27,home,Indiana,Detroit,-304,-310,-315,-320,-300,home,-7.5,-105,-7.5,-105,-7,-105,-8,-105,-7.5,-105,home,211.5,-109,211.5,-108,211,-105,211,-110,211,-109
20191023,12:06:27,away,Chicago,Charlotte,-150,-157,-155,-175,-157,away,-3.5,100,-3.5,-108,-3,-105,-4,-110,-3.5,-108,away,216.5,-115,217,-105,217,-105,216.5,-110,216.5,-111
20191023,12:06:27,home,Charlotte,Chicago,135,147,135,155,137,home,3.5,-110,3.5,-102,3,-105,4,-110,3.5,-112,home,216.5,104,217,-105,217,-105,216.5,-110,216.5,-109
20191023,12:06:27,away,Cleveland,Orlando,390,400,435,375,400,away,9.5,-102,9.5,-108,10,-105,10,-110,9.5,-105,away,212,-106,211.5,-103,211.5,-105,211.5,-110,212,-115
20191023,12:06:27,home,Orlando,Cleveland,-481,-450,-560,-550,-475,home,-9.5,-108,-9.5,-102,-10,-105,-10,-110,-9.5,-115,home,212,-104,211.5,-107,211.5,-105,211.5,-110,212,-105
20191023,12:06:27,away,Memphis,Miami,237,245,250,215,230,away,7,-112,6.5,-101,6.5,-105,7,-115,6.5,-110,away,213.5,-106,213,-107,213.5,-105,213.5,-110,213.5,-112
20191023,12:06:27,home,Miami,Memphis,-273,-265,-310,-260,-275,home,-7,102,-6.5,-109,-6.5,-105,-7,-105,-6.5,-110,home,213.5,-104,213,-103,213.5,-105,213.5,-110,213.5,-108
20191023,12:06:27,away,Boston,Philadelphia,207,210,210,180,205,away,5.5,102,6,-105,6,-105,6,-115,5.5,-103,away,215.5,100,215,-105,215,-105,215.5,-110,215,-112
20191023,12:06:27,home,Philadelphia,Boston,-236,-230,-250,-220,-245,home,-5.5,-113,-6,-105,-6,-105,-6,-105,-5.5,-117,home,215.5,-111,215,-105,215,-105,215.5,-110,215,-108
20191023,12:06:27,away,Minnesota,Brooklyn,131,145,140,130,130,away,3,-108,3.5,-109,3,-105,3,-110,3,-113,away,229.5,-109,229.5,-105,230,-105,230,-115,229.5,-113
20191023,12:06:27,home,Brooklyn,Minnesota,-145,-155,-160,-150,-150,home,-3,-102,-3.5,-101,-3,-105,-3,-110,-3,-107,home,229.5,-101,229.5,-105,230,-105,230,-105,229.5,-107
20191023,12:06:27,away,Washington,Dallas,335,345,370,325,330,away,9,-101,9,-105,9,-105,9.5,-115,9,-106,away,220,-113,220,-105,220.5,-105,220,-110,220.5,-112
20191023,12:06:27,home,Dallas,Washington,-403,-385,-470,-450,-400,home,-9,-109,-9,-105,-9,-105,-9.5,-105,-9,-114,home,220,102,220,-105,220.5,-105,220,-110,220.5,-108
20191023,12:06:27,away,New York,San Antonio,451,470,535,425,470,away,10.5,-103,10.5,-101,10.5,-105,11,-115,10.5,-110,away,214.5,-104,214.5,-105,214.5,-105,214.5,-110,214.5,-110
20191023,12:06:27,home,San Antonio,New York,-570,-555,-710,-650,-575,home,-10.5,-107,-10.5,-109,-10.5,-105,-11,-105,-10.5,-110,home,214.5,-106,214.5,-105,214.5,-105,214.5,-110,214.5,-110
20191023,12:06:27,away,Oklahoma City,Utah,339,370,385,315,340,away,9,-113,9,-109,9,-105,9,-110,9,-115,away,221,-104,221.5,-105,221.5,-105,221.5,-110,221.5,-105
20191023,12:06:27,home,Utah,Oklahoma City,-408,-415,-510,-430,-410,home,-9,103,-9,-101,-9,-105,-9,-110,-9,-105,home,221,-106,221.5,-105,221.5,-105,221.5,-110,221.5,-115
20191023,12:06:27,away,Sacramento,Phoenix,108,103,-115,-120,102,away,1,103,1,-105,PK-10,PK-105,-1,-105,1.5,-108,away,232.5,-110,232.5,-108,233,-105,232.5,-115,232.5,-110
20191023,12:06:27,home,Phoenix,Sacramento,-119,-113,-105,100,-122,home,-1,-114,-1,-105,PK-10,PK-105,1,-115,-1.5,-112,home,232.5,-100,232.5,-102,233,-105,232.5,-105,232.5,-110
20191023,12:06:27,away,Denver,Portland,-113,-118,-120,-115,-117,away,-1.5,-101,-1.5,-107,-1.5,-105,-1.5,-105,-1.5,-106,away,218,-108,217.5,-105,218,-105,218,-110,218,-115
20191023,12:06:27,home,Portland,Denver,102,108,100,-105,-103,home,1.5,-110,1.5,-103,1.5,-105,1.5,-115,1.5,-114,home,218,-102,217.5,-105,218,-105,218,-110,218,-105
20191024,12:06:33,away,Atlanta,Detroit,108,108,105,100,105,away,1.5,-102,1.5,-108,1.5,-105,1.5,-110,1.5,-106,away,221.5,-110,222,-105,222,-105,222,-110,221.5,-112
20191024,12:06:33,home,Detroit,Atlanta,-120,-118,-125,-120,-125,home,-1.5,-109,-1.5,-102,-1.5,-105,-1.5,-110,-1.5,-114,home,221.5,-100,222,-105,222,-105,222,-110,221.5,-108
20191024,12:06:33,away,Milwaukee,Houston,106,108,105,100,-102,away,1.5,-104,1.5,-108,1.5,-105,1.5,-105,1.5,-110,away,231.5,-102,231,-107,231,-105,231,-110,231,-108
20191024,12:06:33,home,Houston,Milwaukee,-117,-118,-125,-120,-118,home,-1.5,-106,-1.5,-102,-1.5,-105,-1.5,-115,-1.5,-110,home,231.5,-108,231,-103,231,-105,231,-110,231,-112
20191024,12:06:33,away,L.A. Clippers,Golden State,-109,-113,-120,-130,-117,away,-1,-104,-1,-105,-1,-105,-2,-110,-1,-114,away,229.5,-105,230,-102,230,-105,229.5,-115,229.5,-110
20191024,12:06:33,home,Golden State,L.A. Clippers,-101,103,100,110,-103,home,1,-106,1,-105,1,-105,2,-110,1,-106,home,229.5,-105,230,-108,230,-105,229.5,-105,229.5,-110
20191025,12:06:37,away,Toronto,Boston,125,123,120,125,118,away,2.5,-104,2.5,-109,2.5,-105,3,-115,2.5,-103,away,213.5,-103,213,-105,213,-105,213.5,-110,213,-107
20191025,12:06:37,home,Boston,Toronto,-138,-133,-140,-145,-138,home,-2.5,-106,-2.5,-101,-2.5,-105,-3,-105,-2.5,-117,home,213.5,-107,213,-105,213,-105,213.5,-110,213,-113
20191025,12:06:37,away,Minnesota,Charlotte,-208,-200,-210,-220,-215,away,-5.5,100,-5,-105,-5,-105,-5.5,-110,-5,-115,away,225.5,-101,225,-102,225,-105,225.5,-110,225,-110
