dateGame,formatted_date
2009-10-27,20091027
2009-10-28,20091028
2009-10-29,20091029
2009-10-30,20091030
2009-10-31,20091031
2009-11-01,20091101
2009-11-02,20091102
2009-11-03,20091103
2009-11-04,20091104
2009-11-05,20091105
2009-11-06,20091106
2009-11-07,20091107
2009-11-08,20091108
2009-11-09,20091109
2009-11-10,20091110
2009-11-11,20091111
2009-11-12,20091112
2009-11-13,20091113
2009-11-14,20091114
2009-11-15,20091115
2009-11-16,20091116
2009-11-17,20091117
2009-11-18,20091118
2009-11-19,20091119
2009-11-20,20091120
2009-11-21,20091121
2009-11-22,20091122
2009-11-23,20091123
2009-11-24,20091124
2009-11-25,20091125
2009-11-26,20091126
2009-11-27,20091127
2009-11-28,20091128
2009-11-29,20091129
2009-11-30,20091130
2009-12-01,20091201
2009-12-02,20091202
2009-12-03,20091203
2009-12-04,20091204
2009-12-05,20091205
2009-12-06,20091206
2009-12-07,20091207
2009-12-08,20091208
2009-12-09,20091209
2009-12-10,20091210
2009-12-11,20091211
2009-12-12,20091212
2009-12-13,20091213
2009-12-14,20091214
2009-12-15,20091215
2009-12-16,20091216
2009-12-17,20091217
2009-12-18,20091218
2009-12-19,20091219
2009-12-20,20091220
2009-12-21,20091221
2009-12-22,20091222
2009-12-23,20091223
2009-12-25,20091225
2009-12-26,20091226
2009-12-27,20091227
2009-12-28,20091228
2009-12-29,20091229
2009-12-30,20091230
2009-12-31,20091231
2010-01-01,20100101
2010-01-02,20100102
2010-01-03,20100103
2010-01-04,20100104
2010-01-05,20100105
2010-01-06,20100106
2010-01-07,20100107
2010-01-08,20100108
2010-01-09,20100109
2010-01-10,20100110
2010-01-11,20100111
2010-01-12,20100112
2010-01-13,20100113
2010-01-14,20100114
2010-01-15,20100115
2010-01-16,20100116
2010-01-17,20100117
2010-01-18,20100118
2010-01-19,20100119
2010-01-20,20100120
2010-01-21,20100121
2010-01-22,20100122
2010-01-23,20100123
2010-01-24,20100124
2010-01-25,20100125
2010-01-26,20100126
2010-01-27,20100127
2010-01-28,20100128
2010-01-29,20100129
2010-01-30,20100130
2010-01-31,20100131
2010-02-01,20100201
2010-02-02,20100202
2010-02-03,20100203
2010-02-04,20100204
2010-02-05,20100205
2010-02-06,20100206
2010-02-07,20100207
2010-02-08,20100208
2010-02-09,20100209
2010-02-10,20100210
2010-02-11,20100211
2010-02-16,20100216
2010-02-17,20100217
2010-02-18,20100218
2010-02-19,20100219
2010-02-20,20100220
2010-02-21,20100221
2010-02-22,20100222
2010-02-23,20100223
2010-02-24,20100224
2010-02-25,20100225
2010-02-26,20100226
2010-02-27,20100227
2010-02-28,20100228
2010-03-01,20100301
2010-03-02,20100302
2010-03-03,20100303
2010-03-04,20100304
2010-03-05,20100305
2010-03-06,20100306
2010-03-07,20100307
2010-03-08,20100308
2010-03-09,20100309
2010-03-10,20100310
2010-03-11,20100311
2010-03-12,20100312
2010-03-13,20100313
2010-03-14,20100314
2010-03-15,20100315
2010-03-16,20100316
2010-03-17,20100317
2010-03-18,20100318
2010-03-19,20100319
2010-03-20,20100320
2010-03-21,20100321
2010-03-22,20100322
2010-03-23,20100323
2010-03-24,20100324
2010-03-25,20100325
2010-03-26,20100326
2010-03-27,20100327
2010-03-28,20100328
2010-03-29,20100329
